# date;Temp;RH;Tgrad;Patm;Pluvio
2017-09-28 10:15:00;20.4;75.7;-2.3;1019.7;0
2017-09-28 10:30:00;20.6;74.8;-2.4;1019.7;0
2017-09-28 10:45:00;20.7;74.6;-2.2;1019.7;0
2017-09-28 11:00:00;21.2;73.2;-2.2;1019.6;0
2017-09-28 11:15:00;21.5;72.3;-2.6;1019.7;0
2017-09-28 11:30:00;21.9;71.3;-2.3;1019.7;0
2017-09-28 11:45:00;22;70;-2.6;1019.7;0
2017-09-28 12:00:00;22.1;69.5;-2.5;1019.7;0
2017-09-28 12:15:00;22.3;69.3;-2.8;1019.6;0
2017-09-28 12:30:00;23.1;67.9;-3.1;1019.6;0
2017-09-28 12:45:00;23.7;66.2;-2.6;1019.5;0
2017-09-28 13:00:00;24.2;64.9;-2.1;1019.5;0
2017-09-28 13:15:00;24.9;62.3;-2.1;1019.5;0
2017-09-28 13:30:00;24.9;61.5;-2.3;1019.5;0
2017-09-28 13:45:00;24.9;62.3;-2.3;1019.4;0
2017-09-28 14:00:00;25.1;61.3;-2.1;1019.4;0
2017-09-28 14:15:00;25.4;61.2;-2.2;1019.5;0
2017-09-28 14:30:00;25.5;60;-2.4;1019.4;0
2017-09-28 14:45:00;25.2;59.7;-1.9;1019.4;0
2017-09-28 15:00:00;24.6;61;-2.1;1019.4;0
2017-09-28 15:15:00;24.1;62;-2;1019.4;0
2017-09-28 15:30:00;23.7;63;-1.9;1019.4;0
2017-09-28 15:45:00;23.4;63.8;-1.8;1019.4;0
2017-09-28 16:00:00;23.2;64.2;-1.8;1019.4;0
2017-09-28 16:15:00;23;64.2;-1.7;1019.5;0
2017-09-28 16:30:00;22.8;64.7;-1.6;1019.4;0
2017-09-28 16:45:00;22.5;65.7;-1.6;1019.4;0
2017-09-28 17:00:00;22.2;66.5;-1.6;1019.5;0
2017-09-28 17:15:00;21.9;68;-1.5;1019.5;0
2017-09-28 17:30:00;21.5;69.2;-1.4;1019.6;0
2017-09-28 17:45:00;21.2;70.4;-1.2;1019.6;0
2017-09-28 18:00:00;20.9;71.5;-1;1019.7;0
2017-09-28 18:15:00;20.6;73.1;-0.9;1019.8;0
2017-09-28 18:30:00;20.4;73.8;-1;1019.8;0
2017-09-28 18:45:00;20.1;74.8;-0.8;1019.8;0
2017-09-28 19:00:00;19.9;75.5;-0.6;1019.8;0
2017-09-28 19:15:00;19.7;76.2;-0.4;1019.9;0
2017-09-28 19:30:00;19.5;77;-0.2;1019.9;0
2017-09-28 19:45:00;19.3;77.8;-0.4;1020;0
2017-09-28 20:00:00;19.1;78.3;-0.7;1020;0
2017-09-28 20:15:00;18.9;79.2;-0.4;1020;0
2017-09-28 20:30:00;18.8;79.7;-0.3;1020;0
2017-09-28 20:45:00;18.8;80;-0.1;1020;0
2017-09-28 21:00:00;18.7;80;-0.2;1020;0
2017-09-28 21:15:00;18.7;80.6;-0.4;1019.9;0
2017-09-28 21:30:00;18.6;81;-0.1;1019.8;0
2017-09-28 21:45:00;18.6;81;-0.2;1019.8;0
2017-09-28 22:00:00;18.7;81;0;1019.8;0
2017-09-28 22:15:00;18.7;81;0.7;1019.7;0
2017-09-28 22:30:00;18.6;81.5;1.1;1019.7;0
2017-09-28 22:45:00;18.5;82;1.2;1019.6;0
2017-09-28 23:00:00;18.5;82;1.3;1019.6;0
2017-09-28 23:15:00;18.6;82.2;1.4;1019.5;0
2017-09-28 23:30:00;18.6;82.7;1.6;1019.4;0
2017-09-28 23:45:00;18.7;82.5;1.6;1019.2;0
2017-09-29 00:00:00;18.8;82.3;1.7;1019.1;0
2017-09-29 00:15:00;18.9;82.3;1.6;1019;0
2017-09-29 00:30:00;18.9;82.3;1.9;1018.9;0
2017-09-29 00:45:00;19;82;1.5;1018.9;0
2017-09-29 01:00:00;19;82;1.4;1018.8;0
2017-09-29 01:15:00;19;82;1.7;1018.7;0
2017-09-29 01:30:00;19;82;1.6;1018.6;0
2017-09-29 01:45:00;19;81.8;0.9;1018.5;0
2017-09-29 02:00:00;19;81.7;0.8;1018.3;0
2017-09-29 02:15:00;19.1;81.3;0.9;1018.2;0
2017-09-29 02:30:00;19.1;81;1.9;1017.9;0
2017-09-29 02:45:00;19;81;2.2;1017.8;0
2017-09-29 03:00:00;18.9;81;1.3;1017.6;0
2017-09-29 03:15:00;18.8;80.7;1.4;1017.5;0
2017-09-29 03:30:00;18.6;80.3;1.5;1017.4;0
2017-09-29 03:45:00;18.5;80.8;1.7;1017.3;0
2017-09-29 04:00:00;18.5;81;1.6;1017.3;0
2017-09-29 04:15:00;18.4;81;2;1017.2;0
2017-09-29 04:30:00;18.2;81;1.8;1017.2;0
2017-09-29 04:45:00;17.9;81.3;2.1;1017.1;0
2017-09-29 05:00:00;17.7;81.7;2.3;1017;0
2017-09-29 05:15:00;17.7;81.8;2.3;1017;0
2017-09-29 05:30:00;17.8;82;2.6;1016.9;0
2017-09-29 05:45:00;17.8;81.2;2.3;1016.8;0
2017-09-29 06:00:00;17.9;81;1.4;1016.8;0
2017-09-29 06:15:00;18;81;0.9;1016.8;0
2017-09-29 06:30:00;18.1;80.2;0.6;1016.9;0
2017-09-29 06:45:00;18.1;80;0.6;1016.8;0
2017-09-29 07:00:00;18.1;79.7;0.3;NA;NA
2017-09-29 07:15:00;18.3;79.3;0;NA;NA
2017-09-29 07:30:00;18.5;78.8;-0.2;1017;0
2017-09-29 07:45:00;19.1;78.2;-0.6;1016.9;0
2017-09-29 08:00:00;19.8;76.3;-1;1016.9;0
2017-09-29 08:15:00;20.4;74.4;-1.1;1017;0
2017-09-29 08:30:00;20.7;73.3;-1.1;1016.8;0
2017-09-29 08:45:00;21.3;71.8;-1.3;1016.8;0
2017-09-29 09:00:00;21.9;70.5;-1.4;1016.8;0
2017-09-29 09:15:00;22.1;69.3;-1.5;1016.7;0
2017-09-29 09:30:00;22;69.2;-2;1016.8;0
2017-09-29 09:45:00;22;69.5;-2.3;1016.8;0
2017-09-29 10:00:00;22.1;69.7;-2.7;1016.7;0
2017-09-29 10:15:00;22.3;69.7;-2.3;1016.6;0
2017-09-29 10:30:00;22.6;70.2;-2.5;1016.5;0
2017-09-29 10:45:00;22.9;69.8;-2.4;1016.5;0
2017-09-29 11:00:00;23.2;68.8;-2.2;1016.6;0
2017-09-29 11:15:00;23;69.2;-2.4;1016.6;0
2017-09-29 11:30:00;22.9;69.5;-2.2;1016.7;0
