date;temp;rh;t_grad;pressure;pluvio
2017-11-13 00:15:00;;;;;
2017-11-13 00:30:00;;;;;
2017-11-13 00:45:00;;;;;
2017-11-13 01:00:00;;;;;
2017-11-13 01:15:00;;;;;
2017-11-13 01:30:00;;;;;
2017-11-13 01:45:00;;;;;
2017-11-13 02:00:00;;;;;
2017-11-13 02:15:00;;;;;
2017-11-13 02:30:00;;;;;
2017-11-13 02:45:00;;;;;
2017-11-13 03:00:00;;;;;
2017-11-13 03:15:00;;;;;
2017-11-13 03:30:00;;;;;
2017-11-13 03:45:00;;;;;
2017-11-13 04:00:00;;;;;
2017-11-13 04:15:00;;;;;
2017-11-13 04:30:00;;;;;
2017-11-13 04:45:00;;;;;
2017-11-13 05:00:00;;;;;
2017-11-13 05:15:00;;;;;
2017-11-13 05:30:00;;;;;
2017-11-13 05:45:00;;;;;
2017-11-13 06:00:00;;;;;
2017-11-13 06:15:00;;;;;
2017-11-13 06:30:00;;;;;
2017-11-13 06:45:00;;;;;
2017-11-13 07:00:00;;;;;
2017-11-13 07:15:00;;;;;
2017-11-13 07:30:00;;;;;
2017-11-13 07:45:00;;;;;
2017-11-13 08:00:00;;;;;
2017-11-13 08:15:00;;;;;
2017-11-13 08:30:00;;;;;
2017-11-13 08:45:00;;;;;
2017-11-13 09:00:00;;;;;
2017-11-13 09:15:00;;;;;
2017-11-13 09:30:00;;;;;
2017-11-13 09:45:00;;;;;
2017-11-13 10:00:00;;;;;
2017-11-13 10:15:00;;;;;
2017-11-13 10:30:00;;;;;
2017-11-13 10:45:00;;;;;
2017-11-13 11:00:00;;;;;
2017-11-13 11:15:00;;;;;
2017-11-13 11:30:00;;;;;
2017-11-13 11:45:00;;;;;
2017-11-13 12:00:00;;;;;
2017-11-13 12:15:00;12.4;60.3;-2.2;1023.6;0.0
2017-11-13 12:30:00;12.6;60.0;-2.5;1023.8;0.0
2017-11-13 12:45:00;13.0;59.6;-2.3;1023.8;0.1
2017-11-13 13:00:00;13.0;59.3;-2.1;1023.7;0.0
2017-11-13 13:15:00;13.2;59.0;-2.0;1023.8;0.0
2017-11-13 13:30:00;13.1;58.3;-2.2;1023.8;0.0
2017-11-13 13:45:00;12.6;58.7;-2.1;1023.7;0.0
2017-11-13 14:00:00;12.4;59.4;-2.1;1023.7;0.0
2017-11-13 14:15:00;12.4;58.8;-2.1;1023.8;0.0
2017-11-13 14:30:00;12.3;59.2;-2.1;1023.8;0.0
2017-11-13 14:45:00;12.1;58.5;-1.9;1023.8;0.0
2017-11-13 15:00:00;11.6;59.8;-1.8;1023.7;0.0
2017-11-13 15:15:00;11.4;60.8;-1.7;1023.9;0.0
2017-11-13 15:30:00;11.1;60.7;-1.5;1023.9;0.0
2017-11-13 15:45:00;10.7;61.9;-1.5;1024.0;0.0
2017-11-13 16:00:00;10.4;63.2;-1.4;1024.0;0.0
2017-11-13 16:15:00;10.0;64.4;-1.3;1024.1;0.0
2017-11-13 16:30:00;9.6;66.0;-1.1;1024.3;0.0
2017-11-13 16:45:00;9.3;67.0;-1.0;1024.4;0.0
2017-11-13 17:00:00;9.0;68.0;-0.7;1024.6;0.0
2017-11-13 17:15:00;8.7;69.0;-0.6;1024.8;0.0
2017-11-13 17:30:00;8.5;70.1;-0.2;1024.9;0.0
2017-11-13 17:45:00;8.3;70.7;0.0;1025.1;0.0
2017-11-13 18:00:00;8.0;71.8;0.3;1025.2;0.0
2017-11-13 18:15:00;7.7;72.7;0.5;1025.2;0.0
