date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-09-28 10:15:00;38.5;1.0;4.1;16.2
2017-09-28 10:30:00;32.3;0.7;9.1;0.0
2017-09-28 10:45:00;38.5;6.1;14.2;4.1
2017-09-28 11:00:00;29.7;0.0;2.0;1.4
2017-09-28 11:15:00;19.4;0.0;6.1;0.0
2017-09-28 11:30:00;10.8;0.0;0.0;0.0
2017-09-28 11:45:00;12.4;0.0;1.0;0.0
2017-09-28 12:00:00;12.3;0.0;0.0;0.0
2017-09-28 12:15:00;9.7;0.0;0.0;0.0
2017-09-28 12:30:00;13.8;0.0;0.0;0.0
2017-09-28 12:45:00;20.3;0.0;3.0;0.0
2017-09-28 13:00:00;15.3;0.0;3.0;0.0
2017-09-28 13:15:00;8.6;0.0;0.0;0.0
2017-09-28 13:30:00;8.9;0.0;0.0;0.0
2017-09-28 13:45:00;12.1;0.0;0.0;0.0
2017-09-28 14:00:00;10.1;0.0;0.0;0.0
2017-09-28 14:15:00;9.9;0.0;0.0;0.0
2017-09-28 14:30:00;16.1;0.0;0.0;0.0
2017-09-28 14:45:00;10.9;0.0;0.0;0.0
2017-09-28 15:00:00;16.0;0.0;0.0;0.0
2017-09-28 15:15:00;9.7;0.0;0.0;0.0
2017-09-28 15:30:00;10.0;0.0;0.0;0.0
2017-09-28 15:45:00;19.1;0.0;0.0;0.0
2017-09-28 16:00:00;15.0;0.0;0.0;0.0
2017-09-28 16:15:00;19.4;0.0;0.0;0.0
2017-09-28 16:30:00;20.6;0.0;0.0;0.0
2017-09-28 16:45:00;17.3;0.0;1.4;0.0
2017-09-28 17:00:00;16.3;0.0;0.0;0.0
2017-09-28 17:15:00;16.4;0.0;0.0;0.0
2017-09-28 17:30:00;22.0;0.0;0.0;0.0
2017-09-28 17:45:00;28.2;0.0;3.0;0.0
2017-09-28 18:00:00;27.1;0.0;1.0;0.0
2017-09-28 18:15:00;21.9;0.0;1.0;0.0
2017-09-28 18:30:00;21.0;0.0;0.0;0.0
2017-09-28 18:45:00;19.8;0.0;0.0;0.0
2017-09-28 19:00:00;23.3;0.0;0.0;0.0
2017-09-28 19:15:00;25.6;0.0;1.0;0.0
2017-09-28 19:30:00;33.9;0.0;2.0;0.0
2017-09-28 19:45:00;32.4;0.0;8.1;0.0
2017-09-28 20:00:00;37.0;0.0;6.1;0.0
2017-09-28 20:15:00;27.5;0.0;1.4;0.0
2017-09-28 20:30:00;25.6;0.0;1.0;0.0
2017-09-28 20:45:00;27.3;0.0;0.0;0.0
2017-09-28 21:00:00;26.3;0.0;1.0;0.0
2017-09-28 21:15:00;27.0;0.0;0.0;0.0
2017-09-28 21:30:00;25.7;0.0;0.0;0.0
2017-09-28 21:45:00;23.2;0.0;0.0;0.0
2017-09-28 22:00:00;21.2;0.0;0.0;0.0
2017-09-28 22:15:00;20.8;0.0;0.0;0.0
2017-09-28 22:30:00;22.3;0.0;0.0;0.0
2017-09-28 22:45:00;18.6;0.0;0.0;0.0
2017-09-28 23:00:00;18.9;0.0;0.0;0.0
2017-09-28 23:15:00;17.1;0.0;0.0;0.0
2017-09-28 23:30:00;17.6;0.0;0.0;0.0
2017-09-28 23:45:00;14.7;0.0;0.0;0.0
2017-09-29 00:00:00;13.6;0.0;0.0;0.0
